year,campaign,channel,survey_type,start_time,completion_time,survey_language,overall_satisfaction,wait_time,agent_customer_service,agent_job_knowledge,answer_satisfaction,nps
2021,Campaign 5,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2021-12-08T15:09:24.000,2021-12-08T15:18:59.000,English (United States)‎,Agree,Agree,Agree,Agree,Disagree,7
2021,Campaign 5,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2021-12-13T09:17:09.000,2021-12-13T09:19:31.000,English (United States)‎,Agree,Agree,Agree,Neutral,Neutral,7
2022,Campaign 2,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2022-03-17T13:12:59.000,2022-03-17T13:14:57.000,English (United States)‎,Agree,Agree,Agree,Agree,Neutral,8
2022,Campaign 2,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2022-03-17T13:46:58.000,2022-03-17T13:48:40.000,English (United States)‎,Strongly Agree,Agree,Agree,Agree,Agree,10
2022,Campaign 4,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2022-09-28T17:09:18.000,2022-09-28T17:14:02.000,English (United States)‎,Agree,Agree,Strongly Agree,Agree,Agree,9
2023,Campaign 3,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2023-07-06T10:10:31.000,2023-07-06T10:14:20.000,English (United States)‎,Agree,Agree,Agree,Agree,Agree,8
2023,Campaign 3,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2023-07-06T10:12:24.000,2023-07-06T10:14:34.000,English (United States)‎,Neutral,Agree,Agree,Neutral,Neutral,5
2023,Campaign 4,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2023-09-10T21:23:09.000,2023-09-10T21:24:06.000,English (United States)‎,Agree,Agree,Agree,Neutral,Disagree,4
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-15T05:19:59.000,2020-12-15T05:25:05.000,"Español (España, alfabetización internacional)",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,10
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-07T12:14:41.000,2020-12-07T12:26:10.000,"Español (España, alfabetización internacional)",Agree,Agree,Agree,Agree,Agree,8
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-06T08:30:55.000,2020-12-06T08:39:08.000,中文（繁體）‎,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,10
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-05T22:14:38.000,2020-12-05T22:22:05.000,"Español (España, alfabetización internacional)",Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,6
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-05T21:42:57.000,2020-12-05T21:48:37.000,"Español (España, alfabetización internacional)",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-05T20:32:36.000,2020-12-05T20:34:08.000,"Español (España, alfabetización internacional)",Disagree,Disagree,Neutral,Disagree,Neutral,4
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-05T08:53:01.000,2020-12-05T09:07:19.000,"Español (España, alfabetización internacional)",Agree,Agree,Strongly Agree,Agree,Agree,9
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-04T16:20:29.000,2020-12-04T17:22:13.000,中文（简体）‎,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-04T14:36:59.000,2020-12-04T14:39:44.000,"Español (España, alfabetización internacional)",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,10
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-04T13:09:13.000,2020-12-04T13:11:14.000,"Español (España, alfabetización internacional)",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-04T11:21:30.000,2020-12-04T11:22:58.000,"Español (España, alfabetización internacional)",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,10
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-04T09:53:52.000,2020-12-04T09:54:26.000,中文（繁體）‎,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,10
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-04T09:27:40.000,2020-12-04T09:28:45.000,"Español (España, alfabetización internacional)",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-04T07:56:18.000,2020-12-04T08:04:08.000,English (United States)‎,Neutral,Agree,Agree,Agree,Disagree,6
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-03T19:37:34.000,2020-12-03T19:42:14.000,"Español (España, alfabetización internacional)",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-03T19:04:51.000,2020-12-03T19:14:51.000,"Español (España, alfabetización internacional)",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-03T17:11:15.000,2020-12-03T17:13:28.000,中文（繁體）‎,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,10
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-03T16:12:07.000,2020-12-03T16:12:46.000,"Español (España, alfabetización internacional)",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-03T15:28:35.000,2020-12-03T15:49:30.000,"Español (España, alfabetización internacional)",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10
2020,Pilot,NYC311 Call Center,Customer Satisfaction (CSAT) Survey,2020-12-03T13:25:50.000,2020-12-03T13:27:57.000,Pусский,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,10
